('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         944888 function calls (920509 primitive calls) in 4.292 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      338    0.004    0.000    1.552    0.005 socket.py:691(readinto)
     5930    0.004    0.000    0.010    0.000 filter.py:726(match)
     4401    0.003    0.000    0.004    0.000 sre_parse.py:287(tell)
     3109    0.003    0.000    0.006    0.000 filter.py:540(matches_tag)
      341    0.003    0.000    0.012    0.000 css_parser.py:1108(selector_iter)
     4336    0.003    0.000    0.003    0.000 {method 'keys' of 'dict' objects}
      927    0.003    0.000    0.004    0.000 sre_compile.py:265(_compile_charset)
     2250    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     7571    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
     2250    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        9    0.003    0.000    0.003    0.000 {built-in method builtins.sorted}
      165    0.002    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      214    0.002    0.000    0.031    0.000 <frozen importlib._bootstrap>:921(_find_spec)
     2183    0.002    0.000    0.003    0.000 {built-in method builtins.getattr}
     4715    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
     5931    0.002    0.000    0.002    0.000 element.py:3090(descendants)
     1074    0.002    0.000    0.005    0.000 sre_parse.py:296(_class_escape)
    56/16    0.002    0.000    0.041    0.003 css_parser.py:925(parse_selectors)
     9287    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
     4527    0.002    0.000    0.003    0.000 {built-in method builtins.max}
      273    0.002    0.000    0.002    0.000 sre_compile.py:437(<listcomp>)
        1    0.002    0.002    0.002    0.002 connection.py:375(close)
      330    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      202    0.002    0.000    0.023    0.000 sre_compile.py:560(_compile_info)
