('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         855346 function calls (834383 primitive calls) in 5.671 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      496    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
     5192    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
     6271    0.002    0.000    0.009    0.000 {built-in method builtins.next}
       87    0.002    0.000    0.002    0.000 {built-in method io.open_code}
     4339    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
      314    0.002    0.000    0.004    0.000 enum.py:89(__setitem__)
      107    0.002    0.000    0.004    0.000 sre_compile.py:516(_get_charset_prefix)
      984    0.002    0.000    0.004    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     4571    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
     1397    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
     1733    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     1970    0.002    0.000    0.002    0.000 ssl.py:1138(_checkClosed)
     3243    0.002    0.000    0.002    0.000 sre_parse.py:287(tell)
     1143    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     1143    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      586    0.001    0.000    0.002    0.000 sre_compile.py:265(_compile_charset)
      164    0.001    0.000    0.011    0.000 sre_compile.py:560(_compile_info)
     4531    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      164    0.001    0.000    0.158    0.001 sre_compile.py:783(compile)
      116    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap>:921(_find_spec)
       87    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      101    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      995    0.001    0.000    0.002    0.000 sre_parse.py:296(_class_escape)
      174    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        8    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      341    0.001    0.000    0.005    0.000 css_parser.py:1108(selector_iter)
      888    0.001    0.000    0.002    0.000 typing.py:986(__setattr__)
      375    0.001    0.000    0.001    0.000 enum.py:470(__setattr__)
      194    0.001    0.000    0.002    0.000 typing.py:146(_type_check)
      701    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
    117/3    0.001    0.000    0.302    0.101 <frozen importlib._bootstrap>:1022(_find_and_load)
     3426    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
