('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         944592 function calls (920275 primitive calls) in 8.976 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      165    0.003    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:950(get_code)
     6276    0.003    0.000    0.014    0.000 {built-in method builtins.next}
      496    0.003    0.000    0.004    0.000 css_types.py:41(__init__)
     4098    0.003    0.000    0.003    0.000 parser.py:126(clear_cdata_mode)
     7648    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
     2183    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
     4457    0.003    0.000    0.003    0.000 _markupbase.py:36(getpos)
      132    0.003    0.000    0.005    0.000 sre_compile.py:516(_get_charset_prefix)
     4401    0.003    0.000    0.004    0.000 sre_parse.py:287(tell)
      214    0.003    0.000    0.040    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      330    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      927    0.003    0.000    0.003    0.000 sre_compile.py:265(_compile_charset)
      197    0.003    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      329    0.003    0.000    0.006    0.000 enum.py:89(__setitem__)
    217/3    0.003    0.000    0.554    0.185 <frozen importlib._bootstrap>:1022(_find_and_load)
       17    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
     7571    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      202    0.002    0.000    0.271    0.001 sre_compile.py:783(compile)
      273    0.002    0.000    0.002    0.000 sre_compile.py:437(<listcomp>)
    193/3    0.002    0.000    0.552    0.184 <frozen importlib._bootstrap>:664(_load_unlocked)
      834    0.002    0.000    0.003    0.000 sre_parse.py:356(_escape)
      259    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      202    0.002    0.000    0.018    0.000 sre_compile.py:560(_compile_info)
      193    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     4336    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
        4    0.002    0.000    0.002    0.000 {built-in method _ssl.txt2obj}
     4530    0.002    0.000    0.003    0.000 {built-in method builtins.max}
     1074    0.002    0.000    0.004    0.000 sre_parse.py:296(_class_escape)
       17    0.002    0.000    0.005    0.000 __init__.py:328(namedtuple)
        1    0.002    0.002    0.002    0.002 connection.py:375(close)
      325    0.002    0.000    0.005    0.000 typing.py:146(_type_check)
     4715    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
    216/3    0.002    0.000    0.553    0.184 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     1222    0.002    0.000    0.003    0.000 typing.py:986(__setattr__)
      961    0.002    0.000    0.003    0.000 sre_parse.py:433(_uniq)
      343    0.002    0.000    1.636    0.005 ssl.py:1292(recv_into)
     1399    0.002    0.000    0.003    0.000 sre_parse.py:169(__setitem__)
     2368    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      341    0.002    0.000    0.006    0.000 css_parser.py:1108(selector_iter)
      343    0.002    0.000    1.638    0.005 socket.py:691(readinto)
     9287    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
      202    0.002    0.000    0.172    0.001 sre_parse.py:944(parse)
     3765    0.002    0.000    0.002    0.000 {method 'find' of 'bytearray' objects}
       65    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
      393    0.002    0.000    0.002    0.000 enum.py:470(__setattr__)
      259    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
     4530    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
      273    0.001    0.000    0.004    0.000 sre_compile.py:435(_mk_bitmap)
     1035    0.001    0.000    0.004    0.000 sre_compile.py:447(_simple)
     2155    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        9    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
    56/16    0.001    0.000    0.023    0.001 css_parser.py:925(parse_selectors)
      176    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       10    0.001    0.000    0.005    0.001 enum.py:553(<listcomp>)
      330    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       20    0.001    0.000    0.002    0.000 enum.py:222(<setcomp>)
      961    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      259    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:125(release)
      264    0.001    0.000    0.533    0.002 response.py:1368(read_chunked)
      165    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      165    0.001    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      146    0.001    0.000    0.008    0.000 typing.py:1016(__init__)
      165    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      263    0.001    0.000    0.034    0.000 response.py:619(_decode)
       19    0.001    0.000    1.303    0.069 __init__.py:1(<module>)
      343    0.001    0.000    1.634    0.005 ssl.py:1150(read)
      170    0.001    0.000    0.009    0.000 _markupbase.py:165(parse_comment)
    165/3    0.001    0.000    0.551    0.184 <frozen importlib._bootstrap_external>:877(exec_module)
      202    0.001    0.000    0.002    0.000 enum.py:986(__and__)
      633    0.001    0.000    0.013    0.000 enum.py:359(__call__)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
     1222    0.001    0.000    0.002    0.000 typing.py:935(_is_dunder)
     2585    0.001    0.000    0.003    0.000 css_parser.py:317(match)
    166/1    0.001    0.000    8.976    8.976 {built-in method builtins.exec}
      495    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      856    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.001    0.001    0.001    0.001 idnadata.py:1(<module>)
        3    0.001    0.000    0.001    0.000 socket.py:220(__init__)
      501    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
  193/189    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      165    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
     3426    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
      202    0.001    0.000    0.095    0.000 sre_compile.py:622(_code)
       18    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     1436    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      153    0.001    0.000    0.002    0.000 filter.py:618(_attribute_match)
     3110    0.001    0.000    0.001    0.000 element.py:2414(__bool__)
     1050    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      329    0.001    0.000    0.001    0.000 enum.py:44(_is_private)
      202    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
       79    0.001    0.000    0.007    0.000 css_parser.py:472(parse_attribute_selector)
  225/188    0.001    0.000    0.001    0.000 sre_compile.py:485(_get_literal_prefix)
      415    0.001    0.000    0.001    0.000 sre_parse.py:259(getwhile)
      623    0.001    0.000    0.002    0.000 enum.py:678(__new__)
      214    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
      216    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
  778/712    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
       64    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      202    0.001    0.000    0.001    0.000 sre_parse.py:225(__init__)
       53    0.001    0.000    1.146    0.022 {method 'readline' of '_io.BufferedReader' objects}
       17    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
      406    0.001    0.000    0.001    0.000 socket.py:78(<lambda>)
      419    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
       43    0.001    0.000    0.001    0.000 response.py:1328(_update_chunk_length)
       35    0.001    0.000    0.001    0.000 parse.py:444(urlsplit)
     3822    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      216    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
       42    0.001    0.000    0.495    0.012 response.py:1346(_handle_chunk)
       65    0.001    0.000    0.007    0.000 typing.py:483(Union)
       94    0.001    0.000    0.002    0.000 typing_extensions.py:3178(_collect_type_vars)
      264    0.001    0.000    0.534    0.002 models.py:816(generate)
      176    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      170    0.001    0.000    0.007    0.000 _htmlparser.py:269(handle_comment)
      189    0.001    0.000    0.001    0.000 sre_parse.py:85(opengroup)
      217    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
       50    0.001    0.000    0.001    0.000 enum.py:590(_find_data_type)
      176    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      341    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:391(cached)
      660    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
  166/165    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
        1    0.001    0.001    0.007    0.007 packages.py:1(<module>)
     1630    0.001    0.000    0.001    0.000 {method 'isupper' of 'str' objects}
      789    0.001    0.000    0.001    0.000 sre_parse.py:82(groups)
      329    0.001    0.000    0.001    0.000 enum.py:22(_is_dunder)
      653    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
      608    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
      142    0.001    0.000    0.001    0.000 css_parser.py:369(__init__)
      165    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
