('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         855433 function calls (834462 primitive calls) in 4.877 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      956    0.003    0.000    0.003    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      956    0.002    0.000    0.003    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      956    3.391    0.004    3.391    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      956    0.006    0.000    3.398    0.004 ssl.py:1150(read)
      956    0.009    0.000    3.408    0.004 ssl.py:1292(recv_into)
      956    0.009    0.000    3.424    0.004 socket.py:691(readinto)
      954    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      953    0.006    0.000    0.018    0.000 {method 'sub' of 're.Pattern' objects}
      939    0.001    0.000    0.001    0.000 sre_parse.py:169(__setitem__)
      888    0.000    0.000    0.001    0.000 typing.py:935(_is_dunder)
      888    0.001    0.000    0.002    0.000 typing.py:986(__setattr__)
      701    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
  700/652    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      699    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      699    0.001    0.000    0.001    0.000 sre_parse.py:433(_uniq)
      685    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      653    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
      618    0.001    0.000    0.001    0.000 sre_compile.py:447(_simple)
      615    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      588    0.000    0.000    0.002    0.000 {built-in method builtins.setattr}
      586    0.001    0.000    0.002    0.000 sre_compile.py:265(_compile_charset)
      586    0.008    0.000    0.011    0.000 sre_compile.py:292(_optimize_charset)
      580    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      577    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      577    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      531    0.001    0.000    0.011    0.000 enum.py:359(__call__)
      521    0.000    0.000    0.001    0.000 enum.py:678(__new__)
      496    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
      495    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      454    0.003    0.000    0.003    0.000 {built-in method posix.stat}
      454    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      415    0.001    0.000    0.001    0.000 sre_parse.py:259(getwhile)
      409    0.000    0.000    0.001    0.000 socket.py:93(<lambda>)
      408    0.000    0.000    0.001    0.000 socket.py:88(<lambda>)
      407    0.001    0.000    0.001    0.000 socket.py:83(<lambda>)
      406    0.000    0.000    0.001    0.000 socket.py:78(<lambda>)
      385    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      375    0.001    0.000    0.002    0.000 enum.py:470(__setattr__)
      360    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      348    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
  342/341    0.008    0.000    0.071    0.000 {built-in method builtins.__build_class__}
      341    0.001    0.000    0.005    0.000 css_parser.py:1108(selector_iter)
      328    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      318    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      318    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      317    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      314    0.000    0.000    0.001    0.000 enum.py:22(_is_dunder)
      314    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      314    0.001    0.000    0.001    0.000 enum.py:44(_is_private)
      314    0.002    0.000    0.005    0.000 enum.py:89(__setitem__)
      297    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
      291    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      288    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      287    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      283    0.002    0.000    0.146    0.001 re.py:288(_compile)
      282    0.000    0.000    0.146    0.001 re.py:249(compile)
      272    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      265    0.001    0.000    0.001    0.000 enum.py:12(_is_descriptor)
      263    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      261    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      261    0.000    0.000    0.001    0.000 filter.py:629(_match_attribute_value_helper)
      261    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      260    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      256    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
      240    0.000    0.000    0.000    0.000 element.py:2355(get)
      235    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      217    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      208    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
      207    0.000    0.000    0.000    0.000 enum.py:801(value)
      207    0.000    0.000    0.000    0.000 types.py:176(__get__)
      201    0.000    0.000    0.000    0.000 typing_extensions.py:177(_should_collect_from_parameters)
      201    0.000    0.000    0.000    0.000 typing_extensions.py:3165(_is_unpacked_typevartuple)
      201    0.000    0.000    0.000    0.000 typing.py:1902(get_origin)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      194    0.001    0.000    0.002    0.000 typing.py:146(_type_check)
      193    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
      190    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
  190/156    0.000    0.000    0.001    0.000 sre_compile.py:485(_get_literal_prefix)
      184    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:391(cached)
      180    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      177    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      174    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      174    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
